시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,평균주행속도,불법주정차위반건수,신호등_150m_개수,위험도_raw,위험도점수(0~100)
꿈나무어린이집,대구광역시 중구 남산로1길 46-5 (남산동),2,1,9,3,9.0,0,35.85848306,128.5805841,33.32,69.30000000000001,5,0.34928496946438087,31.495614501839107
 성명초등학교,대구광역시 남구 성당로30길 55 (대명동),8,14,43,7,10.0,1,35.84515216,128.5708254,35.31,168.8,4,0.3492513721877171,31.488978626920666
꿈나무어린이집,대구광역시 수성구 들안로2안길 27-15 (두산동),3,2,12,4,6.0,0,35.832741,128.6192884,33.37,69.30000000000001,0,0.348930444366786,31.425591439356005
청아어린이집,대구광역시 달서구 이곡공원로1길 16 (이곡동),2,1,8,1,6.0,0,35.85620463,128.5082718,34.32,69.30000000000001,14,0.3488843252278017,31.41648234278521
남산교회어린이집,대구광역시 중구 관덕정길 16 (남산동),2,1,12,5,8.0,0,35.8650401,128.590565,33.32,69.30000000000001,2,0.3487345124157226,31.38689247179398
미래유치원,"대구광역시 북구 팔거천동로 104 (동천동, 칠곡2차보성서한타운)",0,0,0,0,9.0,0,35.93270726,128.5563899,29.97,69.30000000000001,11,0.3479617807657439,31.23426847711431
대서초등학교,대구광역시 달서구 송현로 9 (상인동),1,0,0,0,20.0,0,35.82006524,128.5499599,36.08,69.30000000000001,18,0.34779393701319006,31.20111727385053
대산초등학교,대구광역시 북구 신천동로 900 (산격동),5,3,23,7,9.0,0,35.89611402,128.5931912,35.18,195.25,2,0.34773412036436074,31.189302750797243
 무태어린이집,대구광역시 북구 서변로3길 79-8 (서변동),8,5,27,2,9.0,0,35.92329453,128.5957434,44.37,69.30000000000001,8,0.3472758536101783,31.098789436564367
프랜즈유치원,대구광역시 수성구 국채보상로200길 9 (만촌동),2,3,14,7,8.0,0,35.86536904,128.640441,39.84,69.30000000000001,7,0.34718435861978786,31.080718051851502
화남초등학교,대구광역시 달성군 화원읍 명천로 181 ,5,6,43,1,9.0,0,35.80002003,128.498009,49.99,140.2,19,0.34703541671917004,31.051300196573926
시지아이숲유치원 ,대구광역시 수성구 달구벌대로625길 25 (시지동),2,1,37,6,16.5,0,35.84429531,128.6994139,41.83,28.8,0,0.34677805131531325,31.000467367311597
아이비어린이집,대구광역시 달서구 진천로3길 31 (진천동),2,2,10,0,8.0,0,35.80990595,128.5243747,30.92,69.30000000000001,0,0.3465815445218747,30.961654861317932
아일랜드유치원,대구광역시 수성구 국채보상로 990-10 (범어동),3,3,12,1,6.0,0,35.86539414,128.638346,36.68,69.30000000000001,10,0.3464962261302218,30.944803430741658
행복유치원,대구광역시 동구 신암북로7길 75 (신암동),2,3,5,4,8.0,0,35.888735,128.617919,34.16,69.30000000000001,1,0.34649443842118016,30.94445033624208
대구도림초등학교,대구광역시 달성군 다사읍 서재로26길 94 ,3,1,47,3,9.0,0,35.878165,128.4997991,40.57,7.4,0,0.34632036323057025,30.910068347402557
우리아이어린이집,대구광역시 달서구 용산로14길 39 (장기동),1,1,6,2,8.0,0,35.84313621,128.5329738,38.33,69.30000000000001,25,0.3462770162103677,30.901506778349507
대구남양학교,대구광역시 수성구 무학로37안길 6 (지산동),5,5,40,9,9.0,0,35.834025,128.629108,47.09,69.30000000000001,0,0.3459088466839865,30.828788773545163
나현유치원,대구광역시 동구 화랑로88길 90 (방촌동),3,2,20,8,15.0,0,35.87540844,128.6644884,38.96,69.30000000000001,0,0.345842977850069,30.815778869579592
수성유치원,대구광역시 수성구 신천동로96길 45 (수성동4가),3,2,14,4,8.0,0,35.86477932,128.6161398,35.25,69.30000000000001,5,0.3456044863181079,30.768673861901725
