시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,읍면동
아이별어린이집,대구광역시 북구 고성로34길 63 (고성동2가),0,0,0,0,,0,35.8799004,128.5868329,고성동
 지묘어린이집,대구광역시 동구 파계로 117 (지묘동),1,0,7,0,20,0,35.944223,128.6370343,공산동
단비어린이집,대구광역시 동구 팔공로91길 10 (지묘동),2,1,12,3,8,0,35.940566,128.644575,공산동
대구공산초등학교,대구광역시 동구 팔공로197길 35 (백안동),1,2,12,6,8,0,35.9564807,128.6906261,공산동
대구서촌초등학교,대구광역시 동구 파계로 525-11 (중대동),2,0,10,0,20,0,35.98040326,128.6317455,공산동
대구선명학교,대구광역시 동구 팔공산로 225 (덕곡동),2,2,12,2,20,0,35.99718756,128.6137631,공산동
대구지묘초등학교,대구광역시 동구 파계로6길 54-3 (지묘동),5,3,28,11,6,0,35.942816,128.6389777,공산동
위즈숲유치원,대구광역시 동구 파계로19길 12-7 (지묘동),1,0,4,0,6,0,35.94259175,128.6360031,공산동
팔공초등학교,대구광역시 동구 연경지묘로 150 (지묘동),2,0,0,0,20,0,35.9471327,128.6252872,공산동
 환타랜드숲유치원,대구광역시 북구 매천로17길 17-1 (매천동),4,1,4,2,,0,35.90434132,128.5386172,관문동
대구관문초등학교,대구광역시 북구 매전로 32 (매천동),2,1,14,2,,0,35.90869975,128.5461085,관문동
매천초등학교,대구광역시 북구 매천로 179 (매천동),4,6,39,3,,0,35.91332533,128.5410377,관문동
미소담어린이집,대구광역시 북구 매전로4길 10-20 (매천동),6,2,27,9,,0,35.90807568,128.5425981,관문동
사수초등학교,대구광역시 북구 내곡로 124 (사수동),3,4,30,2,,0,35.90014717,128.5152503,관문동
삼영초등학교,대구광역시 북구 내곡로 63 (사수동),0,0,0,0,,0,35.901614,128.5096883,관문동
해성유치원,대구광역시 북구 내곡로 123 (사수동),0,0,0,0,,0,35.89756743,128.5182978,관문동
관음어린이집,대구광역시 북구 관음중앙로22길 3 (관음동),4,2,15,4,,0,35.9432277,128.5456811,관음동
관음초등학교,대구광역시 북구 관음동로17길 16 (관음동),5,3,18,5,,0,35.93992099,128.5471123,관음동
대구관남초등학교,대구광역시 북구 칠곡중앙대로91길 10 (관음동),2,5,15,3,,0,35.93683759,128.5477879,관음동
한별유치원,대구광역시 북구 칠곡중앙대로99길 45-21 (관음동),0,0,0,0,,0,35.94061383,128.5456385,관음동
행복숲유치원,"대구광역시 북구 구암로 17 (관음동, 칠곡2차(수정)한양아파트)",1,1,13,3,,1,35.93664054,128.5429351,관음동
 칠곡한솔유치원,대구광역시 북구 태암로18길 20-7 (구암동),4,4,22,7,,0,35.9259879,128.5550239,구암동
 큰뫼생태어린이집,대구광역시 북구 학정로42길 26-24 (구암동),0,0,0,0,,0,35.9250503,128.5583817,구암동
강북초등학교,대구광역시 북구 구암서로 50 (구암동),3,5,45,8,,0,35.9408343,128.566782,구암동
구암어린이집,대구광역시 북구 구암로42길 13-20 (구암동),3,2,13,2,,0,35.9302986,128.5630209,구암동
구암초등학교,대구광역시 북구 학정로 245 (구암동),4,8,63,15,,0,35.92814416,128.5577585,구암동
아이러브유치원,대구광역시 북구 구암로60길 45-14 (구암동),2,2,11,2,,0,35.9382737,128.5688728,구암동
운암초등학교,대구광역시 북구 대천로 148 (구암동),0,0,0,0,,0,35.93569893,128.5656283,구암동
진성유치원,"대구광역시 북구 구암로 170 (구암동, 칠곡2차한라타운)",0,0,0,0,,0,35.93052009,128.5593829,구암동
채송화유치원,대구광역시 북구 학정로48길 42-6 (구암동),5,6,25,11,,0,35.92723501,128.5605621,구암동
칠곡혜성유치원,대구광역시 북구 학정로42길 40 (구암동),6,5,20,5,,0,35.9267826,128.5589679,구암동
구지세현유치원,대구광역시 달성군 구지면 국가산단대로70길 23 ,0,0,0,0,,1,35.66159725,128.4202023,구지면
구지초등학교,대구광역시 달성군 구지면 창리로11길 45-11 ,6,4,21,3,,0,35.66021157,128.4125564,구지면
대구세현초등학교,대구광역시 달성군 구지면 국가산단대로66길 10 ,7,5,42,2,,1,35.65978473,128.4198073,구지면
 도남초등학교,대구광역시 북구 구리로 202 (국우동),7,3,65,9,,1,35.94865981,128.577122,국우동
 라온제나어린이집,대구광역시 북구 도남길 33-9 (국우동),0,0,0,0,,0,35.9522319,128.5800568,국우동
 리더스유치원,대구광역시 북구 학정동로13길 12 (학정동),5,16,37,15,,1,35.9502955,128.5665514,국우동
 미술관유치원,대구광역시 북구 학남로1길 2-11 (학정동),0,0,0,0,,1,35.9490276,128.5662986,국우동
 반디어린이집,대구광역시 북구 학정동로 84 (학정동),12,3,32,7,,1,35.9512033,128.5682272,국우동
국우초등학교,대구광역시 북구 도남중앙로10길 45 (국우동),4,0,0,0,,0,35.95616,128.5858,국우동
금빛유치원,대구광역시 동구 반야월로 208-1 (동호동),4,2,20,9,8,0,35.87172556,128.711336,국우동
대구가톨릭대학교부설유치원,대구광역시 동구 안심로 300 (동호동),3,1,7,2,20,0,35.865592,128.7176258,국우동
대구동호초등학교,대구광역시 동구 동호로 25 (동호동),1,1,18,2,20,0,35.8653521,128.7204858,국우동
동호어린이집,대구광역시 동구 안심로51길 120 (동호동),0,0,0,0,8,0,35.871609,128.713137,국우동
아름다운유치원,대구광역시 동구 동호로2길 37-17 (동호동),3,1,14,3,,0,35.86536,128.7245,국우동
에트라움어린이집,대구광역시 북구 학남로1길 29 (학정동),0,0,0,0,,0,35.951241,128.566044,국우동
옥스포드유치원,대구광역시 북구 구리로 169 (국우동),0,0,0,0,,0,35.9479921,128.5731257,국우동
