"시설명","시설종류","지정일자","주소","구역지정수","시설물 CCTV 수","시설물 도로표지판 수","시설물 과속방지턱 수","어린이보행자 사고건수 (2020년 ~ 2021년)"
"신세계유치원","유치원(일반)","","대구광역시 수성구 신천동로62길 17 (수성동1가)","1","2","9","3","0"
"연제어린이집","어린이집","","대구광역시 달서구 감삼남길 49 (감삼동)","2","1","9","4","0"
"성당초등학교","초등학교","","대구광역시 달서구 대명천로 118 (본리동)","4","3","35","8","1"
"남도어린이집","어린이집","","대구광역시 남구 장전3길 132 (대명동)","5","6","41","9","1"
"리라어린이집","어린이집","","대구광역시 북구 대현로21길 52 (대현동)","1","1","3","2","0"
"하늘숲유치원","유치원(일반)","2012년 12월 18일","대구광역시 달성군 화원읍 비슬로539길 11-11 ","1","1","14","4","0"
"대구송정초등학교","초등학교","","대구광역시 동구 안심로90길 9 (괴전동)","4","10","45","4","0"
"대성초등학교","초등학교","","대구광역시 서구 국채보상로 426 (비산동)","7","8","34","5","0"
"보물섬어린이집","어린이집","","대구광역시 남구 대명로49길 9-5 (대명동)","2","3","14","4","1"
"한꽃유치원","유치원(일반)","","대구광역시 북구 매천로 204 (태전동)","0","0","0","0","0"
"이바유치원","유치원(일반)","","대구광역시 수성구 파동로30길 61 (파동)","2","1","14","3","0"
"남도초등병설","초등학교","","대구광역시 남구 현충동길 74 (대명동)","0","0","0","0","1"
" 남도초등학교","초등학교","","대구광역시 남구 현충동길 74 (대명동)","6","8","85","11","2"
"옥포예일유치원","유치원(일반)","2017년 10월 17일","대구광역시 달성군 옥포읍 법화길 61 ","1","0","12","2","0"
"매천초등학교","초등학교","","대구광역시 북구 매천로 179 (매천동)","4","6","39","3","0"
"신서초등학교","초등학교","","대구광역시 달서구 계대동문로3길 46 (신당동)","12","6","30","11","0"
"대구죽전초등학교","초등학교","","대구광역시 달서구 죽전길 127 (죽전동)","6","7","28","15","0"
"서변초등학교","초등학교","","대구광역시 북구 호국로43길 35 (서변동)","7","6","37","7","0"
"우정유치원","유치원(일반)","","대구광역시 달서구 선원로14길 10 (신당동)","3","1","12","2","0"
"싱어송유치원","유치원(일반)","","대구광역시 동구 신서로 71-52 (각산동)","1","0","4","1","0"
"은초롱유치원","유치원(일반)","","대구광역시 달서구 서당로7길 93 (신당동)","3","3","14","5","0"
"남대구초등학교","초등학교","","대구광역시 남구 중앙대로47길 55 (대명동)","4","7","47","7","0"
"남대구초등병설","유치원(병설)","","대구광역시 남구 중앙대로47길 55 (대명동)","0","0","0","0","0"
"신당초등학교","초등학교","","대구광역시 달서구 서당로 14 (신당동)","2","2","16","7","0"
"대구신천초등학교","초등학교","","대구광역시 동구 송라로6길 5 (신천동)","7","5","55","4","1"
"엘키즈유치원","유치원(일반)","2016년 03월 31일","대구광역시 달성군 화원읍 성천로42길 24 ","3","1","17","6","0"
"경상유치원","유치원(일반)","2016년 02월 24일","대구광역시 남구 현충로48길 31-9 (대명동)","2","4","33","8","0"
"천내어린이집","어린이집","2013년 04월 02일","대구광역시 달성군 화원읍 화원로7길 55 ","1","3","17","2","0"
"대구죽곡초등학교","초등학교","","대구광역시 달성군 다사읍 죽곡1길 18 ","6","7","74","24","0"
"관음어린이집","어린이집","","대구광역시 북구 관음중앙로22길 3 (관음동)","4","2","15","4","0"
"백합어린이집","어린이집","2008년 09월 26일","대구광역시 중구 남산로4길 111 (남산동)","1","0","12","0","0"
"꿈꽃어린이집","어린이집","","대구광역시 동구 송라로 110 (신암동)","1","0","6","0","0"
"송현초등학교","초등학교","","대구광역시 달서구 송현로 128 (송현동)","7","8","36","20","0"
"롯데가야유치원","유치원(일반)","","대구광역시 달서구 대명천로 101 (본리동, 본리 롯데캐슬)","2","2","24","8","0"
"한국어린이집","어린이집","","대구광역시 달서구 중흥로8길 112 (송현동)","2","2","12","6","0"
"대자연유치원","유치원(일반)","2014년 04월 18일","대구광역시 달성군 다사읍 서재본1길 9-10 ","4","0","0","0","0"
"대구감삼초등학교","초등학교","","대구광역시 달서구 당산로 123 (감삼동)","8","4","41","13","1"
"대남초등학교","초등학교","","대구광역시 달서구 월배로68길 91 (송현동)","9","9","85","27","0"
"멘사창의유치원","유치원(일반)","","대구광역시 달서구 송현로8길 92 (송현동)","2","2","9","3","0"
"리라유치원","유치원(일반)","","대구광역시 달서구 앞산순환로 225 (송현동)","1","2","5","0","0"
"죽곡어린이집","어린이집","","대구광역시 달성군 다사읍 달구벌대로174길 17-5 ","0","0","0","0","0"
" 동그라미유치원","유치원(일반)","","대구광역시 달서구 중흥로8길 50 (송현동)","3","1","12","6","0"
"경북유치원","유치원(일반)","","대구광역시 남구 중앙대로40길 10-1 (대명동)","3","3","13","2","0"
"은초롱어린이집","어린이집","","대구광역시 달성군 다사읍 서재본1길 11 ","0","0","0","0","0"
"꼬마또래어린이집","어린이집","","대구광역시 달서구 와룡로45안길 37 (용산동)","5","3","14","4","0"
"동영유치원","유치원(일반)","","대구광역시 수성구 파동로51길 80 (파동)","1","1","7","4","0"
"더플로우유치원","유치원(일반)","","대구광역시 동구 반야월북로 189-30 (각산동)","2","1","21","4","0"
"원화유치원","유치원(일반)","","대구광역시 달서구 당산로21안길 49 (감삼동)","2","1","8","7","1"
"스카이유치원","유치원(일반)","","대구광역시 달서구 당산로 12 (본리동)","2","1","11","2","0"
"동대구초등학교","초등학교","","대구광역시 동구 신암남로 45 (신암동)","4","8","37","6","0"
"사과나무유치원","유치원(일반)","","대구광역시 동구 아양로8길 31-4 (신암동)","0","0","0","0","0"
"칠성초등학교","초등학교","","대구광역시 북구 침산남로32길 17 (침산동)","4","4","28","7","1"
"두류초등학교","초등학교","","대구광역시 서구 달구벌대로357길 22 (내당동)","13","5","13","21","0"
"명덕초등학교","초등학교","1996년 05월 28일","대구광역시 중구 남산로2길 125 (남산동)","12","10","88","23","0"
"명덕초등학교 병설유치원","유치원(병설)","1995년 12월 30일","대구광역시 중구 남산로2길 125 (남산동)","0","0","0","0","0"
"효동초등학교","초등학교","","대구광역시 동구 효동로 78-7 (효목동)","3","1","17","0","0"
"좋은유치원","유치원(일반)","","대구광역시 북구 호암로 20 (칠성동2가, 성광우방타운)","6","6","47","12","0"
"동그라미어린이집","어린이집","2014년 04월 17일","대구광역시 달성군 화원읍 비슬로500길 10 ","2","1","10","1","0"
"동일초등학교","초등학교","1996년 05월 28일","대구광역시 수성구 들안로 311 (수성동2가)","2","5","25","4","0"
"성모유치원","유치원(일반)","2001년 09월 25일","대구광역시 중구 남산로4길 78 (남산동)","3","1","25","9","0"
"동덕초등학교 병설유치원","유치원(병설)","","대구광역시 중구 동덕로26길 20 (삼덕동2가)","0","0","0","0","0"
"동덕초등학교","초등학교","1998년 09월 08일","대구광역시 중구 동덕로26길 20 (삼덕동2가)","3","2","31","1","0"
"태양유치원","유치원(일반)","","대구광역시 달서구 월배로28안길 17-10 (진천동)","2","3","10","5","1"
"복현초등학교","초등학교","","대구광역시 북구 공항로 58 (복현동)","3","4","44","5","0"
