시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,평균주행속도,불법주정차위반건수,읍면동,전체인구,어린이인구,신호등 300m,어린이비율,위험도점수
남대구초등학교,대구광역시 남구 중앙대로47길 55 (대명동),4,7,47,7,7.0,0,35.85355805,128.5864853,35.31,167.0,대명동,86443,4318,4,5.0,31.845626370893225
남덕초등학교,대구광역시 남구 앞산순환로93길 33 (대명동),12,7,71,14,7.0,0,35.83304211,128.5739489,35.31,71.6,대명동,86443,4318,10,5.0,25.65689310479207
남도어린이집,대구광역시 남구 장전3길 132 (대명동),5,6,41,9,7.0,1,35.84234083,128.5781777,35.31,0.0,대명동,86443,4318,12,5.0,35.55709629509637
남도초등학교,대구광역시 남구 현충동길 74 (대명동),6,8,85,11,7.0,3,35.84427387,128.5813642,35.31,92.8,대명동,86443,4318,15,5.0,46.56602993493796
남동초등학교,대구광역시 달성군 논공읍 논공로 258 ,4,2,29,0,18.0,0,35.72463823,128.456469,58.89,3.2,논공읍,15484,1082,2,6.99,44.814317293734476
남명초등학교,대구광역시 남구 큰골4길 41 (대명동),7,9,68,15,11.5,0,35.8343637,128.5819826,35.31,43.4,대명동,86443,4318,8,5.0,25.0278453453876
남산교회어린이집,대구광역시 중구 관덕정길 16 (남산동),2,1,12,5,8.0,0,35.8650401,128.590565,33.32,0.0,남산동,34268,4017,10,11.72,36.806808696179694
남산초등학교,대구광역시 중구 남산로 70 (남산동),3,6,62,5,20.5,0,35.863204,128.5827598,33.32,100.0,남산동,34268,4017,16,11.72,31.81684264963621
내서초등학교,대구광역시 서구 달구벌대로371길 35 (내당동),13,8,28,20,9.0,0,35.86381875,128.5667588,30.86,201.0,내당동,32137,1704,9,5.3,25.850618044042406
노변초등학교,대구광역시 수성구 노변공원로 52 (시지동),2,1,39,14,17.5,1,35.83774591,128.6976275,41.83,85.4,고산동,87407,8926,11,10.21,43.00988608069704
노전초등학교,대구광역시 달서구 한실로 43 (도원동),2,1,19,0,25.0,0,35.80816336,128.5312014,31.93,85.4,도원동,32050,2301,13,7.18,37.706190291601956
논공어린이집,대구광역시 달성군 논공읍 논공로23길 6-15 ,2,1,13,2,6.0,0,35.730295,128.4470703,58.89,0.0,논공읍,15484,1082,11,6.99,41.485729638172856
뉴대구어린이집,대구광역시 수성구 교학로 54-1 (만촌동),1,0,7,2,8.0,1,35.85091038,128.6528587,39.84,7.6,만촌동,53419,6265,5,11.73,49.324015147139235
늘푸른유치원,대구광역시 달성군 화원읍 명곡로 4 ,0,0,0,0,20.0,0,35.799372,128.4956269,49.99,0.0,화원읍,46114,3740,21,8.11,40.15601059779165
다솜유치원,대구광역시 북구 복현로20길 20 (복현동),4,1,13,3,6.0,0,35.9008908,128.6222078,37.46,0.0,복현동,35769,3057,8,8.55,37.5401267329989
다애어린이집,대구광역시 달서구 명덕로2길 87 (두류동),3,1,12,2,6.0,0,35.85815248,128.5706752,32.95,0.0,두류동,23121,1384,0,5.99,38.231604410276745
다인어린이집,대구광역시 서구 달서로7길 9 (내당동),4,0,4,2,30.0,0,35.8649326,128.5700955,30.86,78.0,내당동,32137,1704,14,5.3,37.51035553224143
다인유치원,대구광역시 북구 대현남로 34 (대현동),4,1,50,4,8.0,0,35.88114395,128.607228,35.87,0.0,대현동,15745,1007,15,6.4,32.3229299220508
단비어린이집,대구광역시 동구 팔공로91길 10 (지묘동),2,1,12,3,8.0,0,35.940566,128.644575,55.62,0.0,공산동,20244,1589,3,7.85,43.3962900654786
단비유치원,"대구광역시 수성구 신매로 51 (신매동, 시지천마타운)",1,1,20,6,18.0,0,35.83447236,128.7060699,45.96,6.4,안심동,101173,10230,13,10.11,38.70526241665171
달산초등학교,대구광역시 북구 옥산로17길 37 (침산동),2,4,23,8,11.0,0,35.88770026,128.5851441,37.06,93.25,침산동,39135,4442,16,11.35,33.56361748519126
달서어린이집,대구광역시 달서구 대명천로8길 10 (성당동),2,1,11,3,8.0,0,35.83923761,128.5558724,30.44,0.0,성당동,20919,1652,24,7.9,31.049957324905424
달서유치원,대구광역시 서구 국채보상로 342 (비산동),7,3,24,6,35.0,0,35.871551,128.568131,35.36,0.0,비산동,44837,1740,14,3.88,33.6608482732524
달서초등학교,대구광역시 서구 국채보상로34길 35 (중리동),20,7,45,17,26.0,0,35.8668447,128.5505173,50.57,154.2,상중이동,17613,1248,9,7.09,33.49556888924006
달성어린이집,대구광역시 달성군 현풍읍 현풍중앙로10길 74 ,1,3,11,3,8.0,0,35.69608,128.4476,56.15,0.0,현풍읍,21728,2523,2,11.61,44.13515739264384
